Key Codes,Description
VK_LBUTTON,Left mouse button
VK_RBUTTON,Right mouse button
VK_CANCEL,Control-break processing
VK_MBUTTON,Middle mouse button (three-button mouse)
VK_XBUTTON1,Windowsÿ2000:ÿX1 mouse button
VK_XBUTTON2,Windowsÿ2000:ÿX2 mouse button
VK_BACK,BACKSPACE key
VK_TAB,TAB key
VK_CLEAR,CLEAR key
VK_RETURN,ENTER key
VK_SHIFT,SHIFT key
VK_CONTROL,CTRL key
VK_MENU,ALT key
VK_PAUSE,PAUSE key
VK_CAPITAL,CAPS LOCK key
VK_KANA,IME Kana mode
VK_HANGUEL,IME Hanguel mode (maintained for compatibility; useÿVK_HANGUL)
VK_HANGUL,IME Hangul mode
VK_JUNJA,IME Junja mode
VK_FINAL,IME final mode
VK_HANJA,IME Hanja mode
VK_KANJI,IME Kanji mode
VK_ESCAPE,ESC key
VK_CONVERT,IME convert
VK_NONCONVERT,IME nonconvert
VK_ACCEPT,IME accept
VK_MODECHANGE,IME mode change request
VK_SPACE,SPACEBAR
VK_PRIOR,PAGE UP key
VK_NEXT,PAGE DOWN key
VK_END,END key
VK_HOME,HOME key
VK_LEFT,LEFT ARROW key
VK_UP,UP ARROW key
VK_RIGHT,RIGHT ARROW key
VK_DOWN,DOWN ARROW key
VK_SELECT,SELECT key
VK_PRINT,PRINT key
VK_EXECUTE,EXECUTE key
VK_SNAPSHOT,PRINT SCREEN key
VK_INSERT,INS key
VK_DELETE,DEL key
VK_HELP,HELP key
'0',0 key
'1',1 key
'2',2 key
'3',3 key
'4',4 key
'5',5 key
'6',6 key
'7',7 key
'8',8 key
'9',9 key
'A',A key
'B',B key
'C',C key
'D',D key
'E',E key
'F',F key
'G',G key
'H',H key
'I',I key
'J',J key
'K',K key
'L',L key
'M',M key
'N',N key
'O',O key
'P',P key
'Q',Q key
'R',R key
'S',S key
'T',T key
'U',U key
'V',V key
'W',W key
'X',X key
'Y',Y key
'Z',Z key
VK_LWIN,Left Windows key (Microsoft Natural Keyboard)
VK_RWIN,Right Windows key (Microsoft Natural Keyboard)
VK_APPS,Applications key (Microsoft Natural Keyboard)
VK_SLEEP,Computer Sleep key
VK_NUMPAD0,Numeric keypad 0 key
VK_NUMPAD1,Numeric keypad 1 key
VK_NUMPAD2,Numeric keypad 2 key
VK_NUMPAD3,Numeric keypad 3 key
VK_NUMPAD4,Numeric keypad 4 key
VK_NUMPAD5,Numeric keypad 5 key
